iter	Passed	Remaining
0	678	4071084
1	1187	3562802
2	1812	3622870
3	2346	3517273
4	2888	3463107
5	3339	3336485
6	3830	3279274
7	4316	3233337
8	4770	3175654
9	5227	3131024
10	5655	3078906
11	6106	3047193
12	6559	3020778
13	7050	3014695
14	7653	3053634
15	8229	3077893
16	8749	3079171
17	9216	3062928
18	9712	3057477
19	10195	3048427
20	10708	3048823
21	11183	3038984
22	11641	3025254
23	12090	3010527
24	12565	3003039
25	13069	3002887
26	13534	2994240
27	13984	2982626
28	14467	2978910
29	14915	2968279
30	15397	2964801
31	15867	2959314
32	16372	2960443
33	16879	2961871
34	17334	2954217
35	17845	2956412
36	18336	2955226
37	18866	2960057
38	19410	2966885
39	19905	2965887
40	20340	2956341
41	20797	2950302
42	21232	2941473
43	21718	2939909
44	22195	2937177
45	22609	2926445
46	23068	2921874
47	23566	2922286
48	24022	2917495
49	24490	2914400
50	25007	2916996
51	25467	2913057
52	25953	2912178
53	26424	2909657
54	26874	2904878
55	27360	2904110
56	27790	2897552
57	28300	2899299
58	28746	2894659
59	29205	2891350
60	29691	2890762
61	30153	2887885
62	30611	2884775
63	31136	2887870
64	31592	2884643
65	32009	2877923
66	32478	2876039
67	32950	2874467
68	33375	2868863
69	33826	2865578
70	34334	2867205
71	34856	2869846
72	35282	2864628
73	35752	2863098
74	36169	2857367
75	36615	2854105
76	37126	2855827
77	37529	2849358
78	37973	2846076
79	38421	2843157
80	38811	2836131
81	39223	2830816
82	39663	2827546
83	40134	2826590
84	40521	2819846
85	40954	2816333
86	41411	2814526
87	41864	2812525
88	42315	2810425
89	42743	2806828
90	43150	2801916
91	43650	2803123
92	44108	2801574
93	44525	2797551
94	44989	2796429
95	45467	2796272
96	45951	2796429
97	46397	2794269
98	46858	2793071
99	47338	2792990
100	47853	2794929
101	48324	2794281
102	48706	2788591
103	49166	2787389
104	49619	2785772
105	50004	2780451
106	50432	2777572
107	50869	2775211
108	51327	2774052
109	51778	2772483
110	52265	2772906
111	52671	2769004
112	53166	2769829
113	53645	2769782
114	54108	2768945
115	54599	2769526
116	55058	2768478
117	55539	2768481
118	56006	2767866
119	56494	2768229
120	56959	2767465
121	57450	2767965
122	57902	2766609
123	58372	2766105
124	58860	2766466
125	59233	2761427
126	59686	2760149
127	60171	2760375
128	60668	2761107
129	61170	2762078
130	61683	2763502
131	62164	2763505
132	62696	2765735
133	63195	2766440
134	63695	2767221
135	64141	2765618
136	64622	2765541
137	65137	2766948
138	65599	2766027
139	66081	2765989
140	66535	2764782
141	67005	2764201
142	67419	2761357
143	67864	2759828
144	68330	2759155
145	68800	2758618
146	69255	2757489
147	69713	2756513
148	70169	2755452
149	70594	2753199
150	71101	2754128
151	71572	2753646
152	72038	2753010
153	72490	2751824
154	72917	2749700
155	73412	2750148
156	73893	2750071
157	74353	2749192
158	74840	2749322
159	75341	2749948
160	75790	2748687
161	76279	2748882
162	76723	2747437
163	77161	2745805
164	77582	2743590
165	78047	2742931
166	78474	2740979
167	78868	2737848
168	79352	2737896
169	79740	2734620
170	80170	2732841
171	80646	2732619
172	81091	2731336
173	81498	2728783
174	81942	2727510
175	82395	2726548
176	82835	2725138
177	83286	2724107
178	83717	2722444
179	84134	2720343
180	84620	2720489
181	85072	2719520
182	85582	2720399
183	86080	2720883
184	86522	2719615
185	86974	2718657
186	87460	2718757
187	87930	2718370
188	88399	2717945
189	88871	2717590
190	89345	2717306
191	89806	2716651
192	90265	2715924
193	90742	2715717
194	91202	2715029
195	91689	2715146
196	92129	2713854
197	92606	2713660
198	93048	2712446
199	93562	2713299
